===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               8192
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               65536
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	80066 D	  8007d D	  800a3 D	  800ac D	  
Set	1:	80066 D	  8007e D	  8006d D	  800a3 D	  
Set	2:	80066 D	  800a3 D	  800aa D	  800ac D	  
Set	3:	8006b D	  8006c D	  800a3 D	  800ac D	  
Set	4:	800a3 D	  8006b D	  8003e  	  800ac D	  
Set	5:	800a3 D	  800ac D	  800ab D	  800aa D	  
Set	6:	8006b D	  800a3 D	  80079 D	  8006f D	  
Set	7:	8006b  	  800a3 D	  800ac D	  800ab D	  
Set	8:	f6067 D	  800a3 D	  8007f D	  800ac D	  
Set	9:	f6067 D	  800a3 D	  800ac D	  800a8 D	  
Set	10:	80085 D	  8007f D	  800a3 D	  800ac D	  
Set	11:	80085 D	  800a3 D	  f6067 D	  800ac D	  
Set	12:	800a3 D	  8007d D	  8003e  	  800ac D	  
Set	13:	800a3 D	  800ac D	  800ab D	  800aa D	  
Set	14:	800a3 D	  8006a D	  80074  	  800ac D	  
Set	15:	8007e D	  800a3 D	  800ac D	  800ab D	  
Set	16:	800a3 D	  80074 D	  f6067 D	  800ac D	  
Set	17:	80070 D	  800a3 D	  80074 D	  800ac D	  
Set	18:	800a3 D	  80090  	  80070 D	  80052  	  
Set	19:	800a3 D	  80070 D	  8006f D	  8007f D	  
Set	20:	8003e  	  800a3 D	  80052  	  800ac D	  
Set	21:	80002  	  800a3 D	  8006b  	  800ab D	  
Set	22:	80002  	  8003e  	  800a3 D	  8006b D	  
Set	23:	80002  	  80052  	  800a3 D	  8003e  	  
Set	24:	80002  	  8003e  	  80052  	  800a3 D	  
Set	25:	80002  	  8003e  	  800a3 D	  8007f D	  
Set	26:	80002  	  800a3 D	  800a9 D	  800a8 D	  
Set	27:	80002  	  800a3 D	  80063 D	  800ab D	  
Set	28:	800a3 D	  80063 D	  80062 D	  8006b D	  
Set	29:	800a3 D	  80063 D	  80074 D	  8007d D	  
Set	30:	80063 D	  800a3 D	  8006b D	  8007f D	  
Set	31:	80063 D	  800a3 D	  8006a D	  80074 D	  
Set	32:	80062  	  800a3 D	  8005e D	  800ab D	  
Set	33:	800a3 D	  800a8 D	  800ab D	  800a7 D	  
Set	34:	80062  	  800a3 D	  800a8 D	  800ab D	  
Set	35:	80062  	  800a3 D	  8005e D	  800a8 D	  
Set	36:	8005e D	  80062  	  800a3 D	  800a8 D	  
Set	37:	8005e  	  8003e  	  80062  	  800a3 D	  
Set	38:	80062  	  8006c D	  800ab D	  800a2 D	  
Set	39:	8003e  	  8006c D	  8007d D	  8005e  	  
Set	40:	8003e  	  8006c D	  8006a  	  800ab D	  
Set	41:	8003e  	  8006c D	  8006a  	  800a6 D	  
Set	42:	8003e  	  8006a  	  8006c D	  8006b  	  
Set	43:	8004e  	  8006a  	  800a9 D	  800a8 D	  
Set	44:	8007c  	  8006a  	  80062 D	  8004e  	  
Set	45:	8004e  	  8006c D	  8007f D	  80088 D	  
Set	46:	8004e  	  8006c D	  800a2 D	  800ab D	  
Set	47:	8004e  	  80088 D	  800a2 D	  800ab D	  
Set	48:	8006a  	  80073  	  80088 D	  800a2 D	  
Set	49:	80054 D	  8004e  	  8003e  	  800a2 D	  
Set	50:	80088 D	  8004e  	  8007d D	  800a2 D	  
Set	51:	800a2 D	  800ab D	  800aa D	  800a5 D	  
Set	52:	80063 D	  8008f  	  8007c D	  800a9 D	  
Set	53:	8008f  	  80063 D	  800a2 D	  800ab D	  
Set	54:	8008f  	  80088 D	  800a2 D	  8007f D	  
Set	55:	8008f  	  8006e D	  8005e D	  8006b D	  
Set	56:	8005e D	  8008f  	  8007d D	  8006e D	  
Set	57:	8008f  	  8005e D	  800a6 D	  800a2 D	  
Set	58:	8008f  	  8006a D	  80063 D	  800a2 D	  
Set	59:	8006a  	  8008f  	  800a2 D	  800ab D	  
Set	60:	80063 D	  8006a  	  8008f  	  8006b D	  
Set	61:	8006c D	  8006a D	  8006b D	  800a2 D	  
Set	62:	80069 D	  800a2 D	  8006c D	  8003d  	  
Set	63:	80065 D	  80069 D	  800a2 D	  80039  	  
===== L2 contents =====
Set	0:	2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  6fc  	  
Set	41:	2001b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	42:	2002a D	  2001b  	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	43:	2002a D	  20018 D	  20022 D	  2001a D	  20028 D	  2001b D	  20027 D	  210a6  	  
Set	44:	2002a D	  2001f D	  20018 D	  20022 D	  2001a D	  20015 D	  20028 D	  20027 D	  
Set	45:	2001b D	  20022 D	  2002a D	  20018 D	  2001a D	  20028 D	  20015  	  20027 D	  
Set	46:	2001b  	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  20001  	  3d81a  	  
Set	47:	20022  	  2002a D	  20018 D	  2001a D	  2001b D	  20028 D	  20027 D	  2001f D	  
Set	48:	20022  	  2001f D	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  0  	  
Set	49:	2002a D	  20015  	  2001f D	  20018 D	  2001a D	  20019 D	  20028 D	  20027 D	  
Set	50:	20022  	  2002a D	  2001f D	  20018 D	  2001a D	  20028 D	  20027 D	  20021  	  
Set	51:	2001f D	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  6fc  	  0  	  
Set	52:	2001f  	  2002a D	  20018 D	  2001a D	  20028 D	  20026  	  20027 D	  210a6 D	  
Set	53:	2002a D	  20018 D	  2001a D	  20019 D	  20028 D	  20026  	  20021 D	  20027 D	  
Set	54:	20022 D	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  20026  	  0  	  
Set	55:	2002a D	  20018 D	  2001a D	  20023 D	  20026  	  20028 D	  20027 D	  6fd  	  
Set	56:	2002a D	  20018 D	  2001a D	  20023 D	  20028 D	  20027 D	  20026  	  0  	  
Set	57:	2002a D	  20018 D	  2001a D	  20027 D	  20028 D	  20019 D	  6fc  	  0  	  
Set	58:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  6fc  	  0  	  0  	  
Set	59:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  6fc  	  0  	  0  	  
Set	60:	2002a D	  20018 D	  2001a D	  20015 D	  20019 D	  20028 D	  20027 D	  210a6 D	  
Set	61:	2001b  	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  0  	  0  	  
Set	62:	2001b D	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  20015  	  20001  	  
Set	63:	2002a D	  20018 D	  2001a D	  20028 D	  2001d D	  20027 D	  0  	  0  	  
Set	64:	2001f  	  2002a D	  20018 D	  2001a D	  20028 D	  20015 D	  20027 D	  2009b D	  
Set	65:	2001b D	  2002a D	  2001f D	  20018 D	  2001a D	  20028 D	  20027 D	  20026  	  
Set	66:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  210a6 D	  2009c D	  211d8  	  
Set	67:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  211d8 D	  0  	  0  	  
Set	68:	2002a D	  20018 D	  2001a D	  20028 D	  20021  	  20026  	  20027 D	  0  	  
Set	69:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  210a6 D	  0  	  0  	  
Set	70:	2001e  	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  0  	  0  	  
Set	71:	2002a D	  20018 D	  2001a D	  20028 D	  2001e  	  20026  	  20027 D	  6fc  	  
Set	72:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  210a6  	  0  	  0  	  
Set	73:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  2009c D	  210a6  	  0  	  
Set	74:	20021  	  2002a D	  20018 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	75:	20021  	  2002a D	  20018 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	76:	2001f D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20019 D	  20028 D	  
Set	77:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  210a6  	  
Set	78:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	79:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211d8 D	  
Set	80:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211d8 D	  
Set	81:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211d8 D	  
Set	82:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211d8 D	  
Set	83:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	84:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  0  	  
Set	85:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  0  	  
Set	86:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  0  	  
Set	87:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211aa  	  
Set	88:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20027 D	  20028 D	  0  	  
Set	89:	2002a D	  2001b D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  
Set	90:	2002a D	  2001b D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  
Set	91:	2001b D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20019 D	  20028 D	  
Set	92:	2001b D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  
Set	93:	2001f  	  2001b D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  
Set	94:	2001f D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  
Set	95:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  2001f D	  20027 D	  
Set	96:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  2001f D	  20027 D	  
Set	97:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  2001f D	  
Set	98:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  2001f D	  20027 D	  
Set	99:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  2001f D	  
Set	100:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  2001f D	  20027 D	  
Set	101:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	102:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  2001f D	  20027 D	  
Set	103:	2001f  	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20027 D	  211d6  	  
Set	104:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	105:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20026 D	  20028 D	  20019 D	  
Set	106:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  20026 D	  
Set	107:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211d6  	  
Set	108:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	109:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  20026  	  
Set	110:	2001b D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  
Set	111:	2001b D	  2002a D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  20026  	  
Set	112:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  211d6  	  
Set	113:	2001b D	  20029 D	  2002a D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  
Set	114:	2001f  	  20029 D	  2002a D	  20018 D	  20021 D	  2001e D	  20028 D	  20019 D	  
Set	115:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  20011 D	  
Set	116:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	117:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  20002  	  
Set	118:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  20002  	  
Set	119:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  20002  	  
Set	120:	2001f  	  2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20019 D	  
Set	121:	2002a D	  20029 D	  2000e  	  2000f  	  20018 D	  20021 D	  2001e D	  20028 D	  
Set	122:	2002a D	  20029 D	  2000e  	  2000f  	  20018 D	  20021 D	  2001e D	  20028 D	  
Set	123:	20029 D	  2000e  	  2002a D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  
Set	124:	20029 D	  2000e  	  2002a D	  20018 D	  20021 D	  2001e D	  2001a D	  20028 D	  
Set	125:	2002a D	  2000e  	  2000f  	  20029 D	  20018 D	  20021 D	  2001e D	  2001a D	  
Set	126:	2001a  	  2000e  	  2002a D	  2000f  	  20029 D	  20018 D	  20021 D	  2001e D	  
Set	127:	20019  	  2001a  	  2000e  	  2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  
Set	128:	20019  	  2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  
Set	129:	20019  	  2002a D	  2001f  	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  
Set	130:	20019  	  2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  
Set	131:	20029 D	  2002a D	  20018 D	  20021 D	  2001e D	  20028 D	  20002  	  20027 D	  
Set	132:	20029 D	  2000f  	  2002a D	  20018 D	  20021 D	  2001e D	  20028 D	  20002  	  
Set	133:	2002a  	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20002  	  20027 D	  
Set	134:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20002  	  20027 D	  
Set	135:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  2000f  	  
Set	136:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  2000f  	  
Set	137:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  6fe  	  
Set	138:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  2000f  	  
Set	139:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20019 D	  20028 D	  20027 D	  
Set	140:	2000f  	  2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  
Set	141:	2002a  	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  2000f  	  
Set	142:	2002a D	  2001a D	  20029 D	  20018 D	  20021 D	  20019 D	  2001e D	  20028 D	  
Set	143:	2001f  	  2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  2001e D	  20028 D	  
Set	144:	2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  2001e D	  20028 D	  20027 D	  
Set	145:	2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  2001e D	  20028 D	  20027 D	  
Set	146:	20014  	  2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  2001e D	  20028 D	  
Set	147:	2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  2001e D	  20028 D	  20027 D	  
Set	148:	20014  	  20016 D	  2000f  	  2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  
Set	149:	20000  	  2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  2001e D	  20028 D	  
Set	150:	20000  	  2000f  	  20028 D	  2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  
Set	151:	20000  	  20014  	  20028 D	  2002a D	  2000f  	  20029 D	  20018 D	  20021 D	  
Set	152:	20000  	  20017 D	  20014  	  20028 D	  2000f  	  2002a D	  20029 D	  20018 D	  
Set	153:	20000  	  20029 D	  2000f  	  20028 D	  2002a D	  20018 D	  20021 D	  20019 D	  
Set	154:	20000  	  20029 D	  20028 D	  2002a D	  20018 D	  20021 D	  20019 D	  2001e D	  
Set	155:	20000  	  20028 D	  2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  2001e D	  
Set	156:	20018 D	  20028 D	  2002a D	  20017 D	  20029 D	  20021 D	  20019 D	  2001e D	  
Set	157:	20028 D	  2002a D	  20029 D	  20021 D	  20019 D	  2001e D	  20027 D	  211aa  	  
Set	158:	20028 D	  2002a D	  20029 D	  20021 D	  20019 D	  2001e D	  2001c D	  20027 D	  
Set	159:	2001a  	  20028 D	  20021 D	  2002a D	  20029 D	  20019 D	  2001e D	  20001  	  
Set	160:	20028 D	  20018  	  2002a D	  20017  	  20029 D	  20021 D	  20019 D	  2001e D	  
Set	161:	20028 D	  20029 D	  2002a D	  20021 D	  20019 D	  2001e D	  20027 D	  0  	  
Set	162:	20018  	  20028 D	  20029 D	  2002a D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	163:	20018  	  20028 D	  20017  	  2002a D	  20029 D	  20021 D	  20019 D	  2001e D	  
Set	164:	20017 D	  20028 D	  2002a D	  2001c D	  20018  	  20029 D	  20021 D	  20019 D	  
Set	165:	20017  	  20028 D	  2000f  	  2002a D	  20018  	  20029 D	  20021 D	  20019 D	  
Set	166:	20018  	  2002a D	  20028  	  20029 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	167:	20028 D	  20021 D	  20017 D	  2002a D	  2000f  	  20029 D	  20019 D	  2001e D	  
Set	168:	20028 D	  2001a  	  2002a D	  2000f  	  20029 D	  20021 D	  20019 D	  2001e D	  
Set	169:	2000f  	  2001a  	  20029 D	  20028 D	  2002a D	  20021 D	  20019 D	  2001e D	  
Set	170:	2001a  	  2000f  	  20028 D	  20029 D	  2002a D	  20021 D	  20019 D	  2001e D	  
Set	171:	2001a  	  20013  	  20028 D	  2002a D	  20029 D	  20021 D	  20019 D	  2001e D	  
Set	172:	20018  	  2001a  	  20013  	  20028 D	  2002a D	  20029 D	  20021 D	  20019 D	  
Set	173:	20013  	  20028 D	  2002a D	  20029 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	174:	20013  	  2002a D	  20028  	  20029 D	  20021 D	  20019 D	  2001e D	  20027 D	  
