===== Simulator configuration =====
BLOCKSIZE:             16
L1_SIZE:               1024
L1_ASSOC:              4
L1_PREF_N:             3
L1_PREF_M:             1
L2_SIZE:               65536
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	400013  	  40051a D	  7b0339 D	  400314  	  
Set	1:	400013  	  40051a D	  4002f7 D	  4001f5  	  
Set	2:	400382 D	  400013  	  4002a6 D	  40051a D	  
Set	3:	400013  	  40051a D	  400276  	  400365 D	  
Set	4:	400013  	  400446 D	  40051a D	  400482  	  
Set	5:	400013  	  400429  	  400382  	  400292  	  
Set	6:	400013  	  40051a D	  40051c D	  40047f  	  
Set	7:	400314  	  400357  	  400358 D	  40051c D	  
Set	8:	40031e D	  40031f D	  400314  	  4003e5  	  
Set	9:	40031e D	  4001f2  	  4002f4 D	  40051c D	  
Set	10:	4002f4  	  4001f4  	  40051c D	  400314  	  
Set	11:	400012  	  400314  	  40051a D	  40051b D	  
Set	12:	400012  	  400275  	  40051a D	  40051b D	  
Set	13:	400012  	  4001f2  	  400275  	  400314  	  
Set	14:	400012  	  400358  	  4001f4  	  400519 D	  
Set	15:	400012  	  4003f1 D	  400519 D	  400275  	  
===== L1-SB contents =====
40001370 
40042960 
4002f4b0 
===== L2 contents =====
Set	0:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  6fc  	  
Set	149:	20021 D	  2002a D	  20018 D	  2001a D	  2001e D	  20028 D	  20019  	  20027 D	  
Set	150:	20021 D	  2002a D	  20018 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	151:	20021  	  2002a D	  20018 D	  2001a D	  2001e D	  20028 D	  20019  	  20027 D	  
Set	152:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  210a6  	  
Set	153:	2001f D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20019 D	  20028 D	  
Set	154:	2001f  	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20019  	  20028 D	  
Set	155:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  210a6  	  
Set	156:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  210a6  	  
Set	157:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	158:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019  	  20027 D	  
Set	159:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211d8 D	  
Set	160:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211d8 D	  
Set	161:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211d8 D	  
Set	162:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  3d81a  	  
Set	163:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  3d81a  	  
Set	164:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211d8 D	  
Set	165:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211d8 D	  
Set	166:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211d8 D	  
Set	167:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	168:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019  	  20027 D	  
Set	169:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20027 D	  20028 D	  0  	  
Set	170:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20027 D	  20028 D	  0  	  
Set	171:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  0  	  
Set	172:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  0  	  
Set	173:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  0  	  
Set	174:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211aa  	  
Set	175:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211aa  	  
Set	176:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211aa  	  
Set	177:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20027 D	  20028 D	  0  	  
Set	178:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20027 D	  20028 D	  2009c D	  
Set	179:	2001b D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  
Set	180:	2002a D	  2001b D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019  	  
Set	181:	2002a D	  2001b D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  
Set	182:	2002a D	  2001b D	  20018 D	  20021 D	  2001a D	  2001e D	  20019 D	  20028 D	  
Set	183:	2001b D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20019  	  20028 D	  
Set	184:	2001b D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  
Set	185:	2001b D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  
Set	186:	2001b D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  2001f  	  20028 D	  
Set	187:	2001f D	  2001b D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  
Set	188:	2001f D	  2001b  	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  
Set	189:	2001f D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  
Set	190:	2001f  	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  
Set	191:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  2001f D	  20027 D	  
Set	192:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  2001f D	  20027 D	  
Set	193:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  2001f D	  
Set	194:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  2001f D	  
Set	195:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  2001f  	  
Set	196:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  2001f D	  
Set	197:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  2001f D	  20027 D	  
Set	198:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  2001f  	  20027 D	  
Set	199:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  2001f D	  
Set	200:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  2001f  	  
Set	201:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  2001f D	  20027 D	  
Set	202:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  2001f D	  
Set	203:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	204:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019  	  20027 D	  
Set	205:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  2001f  	  20027 D	  
Set	206:	2001f D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028  	  20027 D	  
Set	207:	2001f  	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20027 D	  211d6  	  
Set	208:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20027 D	  211d6  	  211aa  	  
Set	209:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	210:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20026 D	  20028 D	  20019  	  
Set	211:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  20026  	  
Set	212:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019  	  20027 D	  
Set	213:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  20026  	  
Set	214:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211d6  	  
Set	215:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211d6  	  
Set	216:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211d6  	  
Set	217:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	218:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019  	  20027 D	  
Set	219:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20026  	  20027 D	  
Set	220:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	221:	2001b D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019  	  
Set	222:	2001b D	  2002a D	  20018 D	  20021 D	  2001a  	  2001e D	  20028 D	  20027 D	  
Set	223:	2001b D	  2002a D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  20026  	  
Set	224:	2001b  	  2002a D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  20026  	  
Set	225:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  211d6  	  
Set	226:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  20019 D	  
Set	227:	2001b D	  20029 D	  2002a D	  20018 D	  20021 D	  2001e D	  20028 D	  20026  	  
Set	228:	2001f D	  2001b  	  20029 D	  2002a D	  20018 D	  20021 D	  2001e D	  20028 D	  
Set	229:	2001f  	  20029 D	  2002a D	  20018 D	  20021 D	  2001e D	  20026  	  20028 D	  
Set	230:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  20002  	  
Set	231:	20029 D	  2002a D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  20002  	  
