===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               2048
L1_ASSOC:              4
L1_PREF_N:             2
L1_PREF_M:             1
L2_SIZE:               65536
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	20028d D	  20018a  	  20028e D	  200198 D	  
Set	1:	2001c1 D	  20028d D	  200153 D	  20013b  	  
Set	2:	200223 D	  20028d D	  200241  	  2001c1  	  
Set	3:	20018a  	  2001ac D	  20028e D	  20028d D	  
Set	4:	20018f D	  2000f9  	  20017a D	  20018a  	  
Set	5:	200009  	  20017a  	  2000fa  	  20018a  	  
Set	6:	200009  	  2000f9  	  20028d D	  20018a  	  
Set	7:	200009  	  2001ac  	  2000fa  	  200149  	  
Set	8:	200009  	  3d819c D	  20017b D	  2000f9  	  
Set	9:	200009  	  2000fa  	  2000f9  	  2001b2 D	  
Set	10:	200009  	  200214  	  2000fa  	  20023f  	  
Set	11:	200009  	  2001ab  	  20013a  	  20023f  	  
Set	12:	20018f D	  2001f2  	  2001aa  	  20018a D	  
Set	13:	20028d D	  20018d D	  20013a  	  20028c D	  
Set	14:	20013a  	  20018d D	  20028d D	  2001ad D	  
Set	15:	2001f8 D	  20028c D	  20013a  	  20018d D	  
===== L1-SB contents =====
40001380 
40042960 
===== L2 contents =====
Set	0:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027  	  
Set	67:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  211d8 D	  210a6  	  2009c  	  
Set	68:	2002a D	  20018 D	  2001a D	  20026  	  20021  	  20028 D	  20027 D	  211d8  	  
Set	69:	2002a D	  20018 D	  2001a D	  20026  	  20021  	  20028 D	  20027 D	  210a6 D	  
Set	70:	2001e D	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  210a6  	  0  	  
Set	71:	2001e  	  2002a D	  20018 D	  2001a D	  20026  	  20028 D	  20027 D	  6fc  	  
Set	72:	2002a D	  20018 D	  2001a D	  2001e  	  20026  	  20028 D	  20027 D	  210a6  	  
Set	73:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  2009c D	  210a6  	  0  	  
Set	74:	20021 D	  2002a D	  20018 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	75:	20021 D	  2002a D	  20018 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	76:	2001f D	  20021 D	  2002a D	  20018 D	  2001a D	  2001e D	  20019 D	  20028 D	  
Set	77:	2001f  	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20019  	  20028 D	  
Set	78:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	79:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019  	  20027 D	  
Set	80:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211d8 D	  
Set	81:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  3d81a  	  
Set	82:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  3d81a  	  
Set	83:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	84:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20027 D	  20028 D	  20019  	  
Set	85:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20027 D	  20028 D	  0  	  
Set	86:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  0  	  
Set	87:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211aa  	  
Set	88:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211aa  	  
Set	89:	2001b D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  
Set	90:	2002a D	  2001b D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019  	  
Set	91:	2002a D	  2001b D	  20018 D	  20021 D	  2001a D	  2001e D	  20019 D	  20028 D	  
Set	92:	2001b D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20019  	  20028 D	  
Set	93:	2001f D	  2001b D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  
Set	94:	2001f D	  2001b  	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  
Set	95:	2001f D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  
Set	96:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  2001f D	  20027 D	  
Set	97:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  2001f D	  
Set	98:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  2001f D	  
Set	99:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  2001f D	  20027 D	  
Set	100:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  2001f D	  20027 D	  
Set	101:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	102:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019  	  20027 D	  
Set	103:	2001f D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028  	  20027 D	  
Set	104:	2001f  	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  
Set	105:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20026 D	  20028 D	  20019 D	  
Set	106:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019  	  20027 D	  
Set	107:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  20026  	  
Set	108:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	109:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019  	  20026  	  
Set	110:	2001b D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  
Set	111:	2001b D	  2002a D	  20018 D	  20021 D	  2001a  	  2001e D	  20028 D	  20019  	  
Set	112:	2001b  	  2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  
Set	113:	2001b D	  20029 D	  2002a D	  20018 D	  20021 D	  2001e D	  20026  	  20028 D	  
Set	114:	2001f D	  2001b  	  20029 D	  2002a D	  20018 D	  20021 D	  2001e D	  20026  	  
Set	115:	2001f  	  20029 D	  2002a D	  20018 D	  20021 D	  2001e D	  20028 D	  20026  	  
Set	116:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20019 D	  20002  	  
Set	117:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20019  	  20002  	  
Set	118:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20002  	  20027 D	  
Set	119:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20002  	  20027 D	  
Set	120:	2001f D	  2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20019 D	  
Set	121:	2001f  	  2002a D	  20029 D	  2000e  	  2000f  	  20018 D	  20021 D	  2001e D	  
Set	122:	2000f  	  2002a D	  20029 D	  2000e  	  20018 D	  20021 D	  2001e D	  20028 D	  
Set	123:	2000f  	  2002a D	  2000e  	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  
Set	124:	2000e  	  20029 D	  2002a D	  20018 D	  20021 D	  2001e D	  2001a D	  20028 D	  
Set	125:	2000e  	  20029 D	  2000f  	  2002a D	  20018 D	  20021 D	  2001e D	  2001a D	  
Set	126:	2001a D	  2000e  	  2000f  	  2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  
Set	127:	20019 D	  2001a D	  2000e  	  2000f  	  2002a D	  20029 D	  20018 D	  20021 D	  
Set	128:	20019  	  2001a  	  2000e  	  2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  
Set	129:	20019 D	  2001f D	  2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  
Set	130:	20019 D	  2001f  	  2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  
Set	131:	20019  	  2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20002  	  
Set	132:	2000f  	  20029 D	  2002a D	  20018 D	  20021 D	  2001e D	  20028 D	  20002  	  
Set	133:	2000f  	  20029 D	  2002a D	  20018 D	  20021 D	  2001e D	  20028 D	  20002  	  
Set	134:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20002  	  2000f  	  
Set	135:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20002  	  20027 D	  
Set	136:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  2000f  	  20027 D	  
Set	137:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  2000f  	  
Set	138:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20027 D	  2000f  	  
Set	139:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20019 D	  20028 D	  20027 D	  
Set	140:	2000f  	  2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20019 D	  
Set	141:	2000f  	  2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20019  	  
Set	142:	2001a D	  2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  2001e D	  20028 D	  
Set	143:	2001f  	  2001a  	  2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  2001e D	  
Set	144:	2001f  	  2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  2001e D	  20028 D	  
Set	145:	2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  2001e D	  20028 D	  20027 D	  
Set	146:	20014  	  2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  2001e D	  20028 D	  
Set	147:	20014  	  2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  2001e D	  20028 D	  
Set	148:	2000f  	  20014  	  20016 D	  2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  
Set	149:	20000  	  2000f  	  20014  	  20016 D	  2002a D	  20029 D	  20018 D	  20021 D	  
Set	150:	20000  	  2000f  	  20028 D	  2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  
Set	151:	20000  	  2000f  	  20014  	  20028 D	  2002a D	  20029 D	  20018 D	  20021 D	  
Set	152:	20000  	  2000f  	  20014  	  20017 D	  20028 D	  2002a D	  20029 D	  20018 D	  
Set	153:	20000  	  2000f  	  20014  	  20029 D	  20017  	  20028 D	  2002a D	  20018 D	  
Set	154:	20000  	  2000f  	  20029 D	  20028 D	  2002a D	  20018 D	  20021 D	  20019 D	  
Set	155:	20000  	  20028 D	  20029 D	  2002a D	  20018 D	  20021 D	  20019 D	  2001e D	  
Set	156:	20000  	  20018 D	  20017 D	  20028 D	  2002a D	  20029 D	  20021 D	  20019 D	  
Set	157:	20018  	  20028 D	  20017  	  2002a D	  20029 D	  20021 D	  20019 D	  2001e D	  
Set	158:	20028 D	  2002a D	  20029 D	  20021 D	  20019 D	  2001e D	  2001c D	  20027 D	  
Set	159:	2001a D	  20028 D	  20021 D	  2002a D	  20029 D	  20019 D	  2001e D	  20001  	  
Set	160:	20018  	  20017 D	  2001a  	  20028 D	  20021 D	  2002a D	  20029 D	  20019 D	  
Set	161:	20018  	  20017  	  20028 D	  20029 D	  2002a D	  20021 D	  20019 D	  2001e D	  
Set	162:	20018  	  20028 D	  20029 D	  2002a D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	163:	20018  	  20017 D	  20028 D	  20029 D	  2002a D	  20021 D	  20019 D	  2001e D	  
Set	164:	20018  	  20017 D	  20028 D	  2002a D	  2001c D	  20029 D	  20021 D	  20019 D	  
Set	165:	20017  	  2000f  	  20018  	  20028 D	  2002a D	  2001c  	  20029 D	  20021 D	  
Set	166:	20017  	  2000f  	  20018  	  20028 D	  2002a D	  20029 D	  20021 D	  20019 D	  
Set	167:	2000f  	  20018  	  20017 D	  20028 D	  20021 D	  2002a D	  20029 D	  20019 D	  
Set	168:	2000f  	  2001a  	  20017  	  20028 D	  2002a D	  20021 D	  20029 D	  20019 D	  
Set	169:	2000f  	  2001a  	  20029 D	  20028 D	  2002a D	  20021 D	  20019 D	  2001e D	  
Set	170:	2000f  	  2001a  	  20029 D	  20028 D	  2002a D	  20021 D	  20019 D	  2001e D	  
Set	171:	2001a  	  2000f  	  20013  	  20028 D	  20029 D	  2002a D	  20021 D	  20019 D	  
Set	172:	2001a  	  20018  	  20013  	  20028 D	  2002a D	  20029 D	  20021 D	  20019 D	  
Set	173:	2001a  	  20018  	  20013  	  20028 D	  2002a D	  20029 D	  20021 D	  20019 D	  
Set	174:	20013  	  20028 D	  2002a D	  20029 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	175:	20013  	  20028 D	  2002a D	  20029 D	  20021 D	  20019 D	  2001e D	  20017  	  
Set	176:	20013  	  2001a  	  20028 D	  2002a D	  20029 D	  20021 D	  20019 D	  2001e D	  
Set	177:	20013  	  2001a  	  2000f  	  20028 D	  20029 D	  2002a D	  20021 D	  20019 D	  
Set	178:	20013  	  2000f  	  20028 D	  20029 D	  2002a D	  20021 D	  20019 D	  2001e D	  
Set	179:	20013  	  20028 D	  2002a D	  20029 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	180:	20028 D	  2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	181:	20028 D	  2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	182:	20028 D	  2002a D	  20021 D	  20029 D	  20018 D	  20019 D	  2001e D	  20027 D	  
Set	183:	2001b D	  20017 D	  20028 D	  2002a D	  20021 D	  20029 D	  20018 D	  20019 D	  
Set	184:	20017 D	  2001b D	  20028 D	  2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  
Set	185:	20017 D	  20029 D	  2001b  	  20028 D	  2002a D	  20018 D	  20021 D	  20019 D	  
Set	186:	2001a D	  20017  	  20028 D	  20029 D	  2002a D	  20018 D	  20021 D	  20019 D	  
Set	187:	2001a D	  20028 D	  2002a D	  20029 D	  20018 D	  20017 D	  20021 D	  20019 D	  
Set	188:	2001a  	  20028 D	  2002a D	  20029 D	  20018 D	  20017 D	  20021 D	  20019 D	  
Set	189:	2001a D	  20028 D	  2002a D	  20029 D	  20018 D	  20017 D	  20021 D	  20019 D	  
Set	190:	2001a  	  20028 D	  2002a D	  20029 D	  20018 D	  20017 D	  20021 D	  20019 D	  
Set	191:	20028 D	  2002a D	  20018 D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	192:	20028 D	  2002a D	  20018 D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	193:	20028 D	  20029 D	  2002a D	  20018 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	194:	20028 D	  20029 D	  20018 D	  2002a D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	195:	2001a  	  20028 D	  20018  	  2002a D	  20029 D	  2001b D	  20017 D	  20021 D	  
Set	196:	2001a D	  20028 D	  2002a D	  2001b  	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	197:	20028 D	  2001a  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	198:	2001a D	  20028 D	  2001b D	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	199:	2001a  	  20028 D	  2001b  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	200:	2001a  	  20028 D	  2001f D	  3d819  	  2002a D	  20029 D	  20017 D	  20021 D	  
Set	201:	3d819 D	  20028 D	  2001f  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	202:	2001f D	  20028 D	  3d819  	  2002a D	  20017 D	  20029 D	  20021 D	  20019 D	  
Set	203:	20028 D	  2001f  	  3d819 D	  20029 D	  2002a D	  20017 D	  20021 D	  20019 D	  
Set	204:	20028 D	  20029 D	  2002a D	  3d819  	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	205:	20028  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20023  	  
Set	206:	20028 D	  2001f D	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	207:	20028  	  2002a D	  2001f D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	208:	20028  	  3d819 D	  2002a D	  2001f D	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	209:	20028  	  2002a D	  3d819  	  2001f D	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	210:	20028 D	  2001f D	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	211:	20028  	  2001b D	  2001f D	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	212:	20028 D	  2001a D	  2001b  	  2001f D	  2002a D	  20029 D	  20017 D	  20021 D	  
Set	213:	20028 D	  2001a D	  2002a D	  20029 D	  2001f  	  20017 D	  20021 D	  20019 D	  
Set	214:	2001a D	  20028  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	215:	20028 D	  2001a  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	216:	20028 D	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	217:	20028 D	  2001f D	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	218:	20028 D	  2001f  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	219:	20028 D	  20018 D	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	220:	20028 D	  20018 D	  2001a D	  2002a D	  2001b D	  20029 D	  2001f D	  20017 D	  
Set	221:	20028  	  20018  	  2001a  	  2001b D	  2002a D	  20029 D	  2001f D	  20017 D	  
Set	222:	20028  	  20018  	  2001a D	  2001f D	  2001b  	  2002a D	  20029 D	  20017 D	  
Set	223:	20028 D	  20018  	  2001a D	  2001f  	  2002a D	  20029 D	  20017 D	  20021 D	  
Set	224:	20028  	  20018  	  2001a  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	225:	20028 D	  2002a D	  20029 D	  20019 D	  2001a D	  20017 D	  20021 D	  2001e D	  
Set	226:	20028 D	  2002a D	  20029 D	  20019 D	  2001a  	  20017 D	  20021 D	  2001e D	  
Set	227:	20028  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	228:	20028 D	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	229:	20028 D	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	230:	20028  	  2002a D	  2001f D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
